"","model_id","sample_id","patient_id","parent_id","model_name","synonyms","tissue","cancer_type","cancer_type_ncit_id","tissue_status","sample_site","cancer_type_detail","model_type","growth_properties","model_treatment","sampling_day","sampling_month","sampling_year","doi","pmed","msi_status","ploidy_snp6","ploidy_wes","ploidy_wgs","mutational_burden","model_comments","model_relations_comment","COSMIC_ID","BROAD_ID","CCLE_ID","RRID","HCMI","suppliers","supplier","cat_number","species","gender","ethnicity","age_at_sampling","family_history_of_cancer","prior_same_malignancy","prior_other_malignancy","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","patient_history_of_gastrointestinal_disorder","gastrointestinal_disorder_diagnosed","prior_synchronous_colon_rectal_tumours","history_prior_colon_polyps","previous_current_barretts_oesophagus","reflux_disease_prior","reflux_disease_treatment","h_pylori_infection","history_clinical_chronic_pancreatitis","tumour_grade","tnm_integrated","tnm_t","tnm_n","tnm_m","clinical_staging","metastasis_at_diagnosis","metastatic_site_at_diagnosis","method_procurement","sample_treatment","sample_treatment_details","radiation_type","prior_therapy_outcome","tumour_regression_score","colon_polyps_present_at_time_of_tissue_collection","venous_invasion_present","venous_invasion_type","lymphatic_invasion_present","perineural_invasion_present","gastric_oesophageal_junction","barretts_goblet_cells_present","oesophageal_columnar_metaplasia","goblet_cells_oesophageal_columnar_mucosa","degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa","peripancreatic_lymph_nodes_tested_surgery","number_positive_peripancreatic_lymph_nodes","mlh1_expression_by_ihc","mlh1_promoter_methylation_status","msh2_expression_by_ihc","pms2_expression_by_ihc","msh6_expression_by_ihc","braf_mutation_identified","braf_expression_by_ihc","pik3ca_mutation_identified","pten_expression_by_ihc","pten_mutation_identified","kras_mutation_identified","mismatch_repair_status","preoperative_ce_alevel","crispr_ko_data"
"366","SIDM00310","SIDS00881","SIDP00785","","NCIH2804","","Lung","Mesothelioma","C7376","Unknown","Unknown","Malignant Pleural Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.243548874,3.21568035587175,NA,23.34,"","","1240136","ACH-002132","H2804_PLEURA","CVCL_U998","","NCI-Navy Medical Oncology Branch:NCI-H2804","NCI-Navy Medical Oncology Branch","NCI-H2804","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"369","SIDM00339","SIDS01102","SIDP00991","","LXF289","LXF 289L","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.878074509,3.01132949701111,NA,67.95,"","","753592","ACH-000787","LXF289_LUNG","CVCL_1394","","DSMZ:ACC-265","DSMZ","ACC-265","Homo sapiens","Male","Unknown","63.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"376","SIDM00356","SIDS01046","SIDP00939","","RERFLCKJ","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.720445452,3.05365024348907,NA,33.66,"","","1298537","ACH-000482","RERFLCKJ_LUNG","CVCL_1654","","JCRB:JCRB0137","JCRB","JCRB0137","Homo sapiens","Male","Unknown","78.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"377","SIDM00354","SIDS01048","SIDP00941","","RERFLCSQ1","","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Lung","Squamous Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.891780786,3.024386243405,NA,39.08,"","","1298538","ACH-000442","RERFLCSQ1_LUNG","CVCL_1656","","JCRB:JCRB1019","JCRB","JCRB1019","Homo sapiens","Female","East Asian","74.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"384","SIDM00365","SIDS01053","SIDP00946","","SBC1","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.234105158,3.64742668029474,NA,60.32,"","SBC-1 and SBC-2 exhibit the same DNA profile (JCRB).","713885","ACH-002196","SBC1_LUNG","CVCL_1676","","JCRB:JCRB0816","JCRB","JCRB0816","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"464","SIDM00494","SIDS00948","SIDP00848","","ABC1","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural effusion","Lung Adenocarcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.387710584,2.51067284132318,NA,47.97,"","","906791","ACH-000528","ABC1_LUNG","CVCL_1066","","JCRB:JCRB0815","JCRB","JCRB0815","Homo sapiens","Male","Unknown","47.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"468","SIDM00513","SIDS00890","SIDP00793","","CORL105","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural effusion","Lung Adenocarcinoma","Cell Line","Semi-Adherent","","None","None","None","",NA,"MSS",1.735611727,1.76536048593927,NA,23.16,"","","906805","ACH-000161","CORL105_LUNG","CVCL_1138","","ECACC:92031918","ECACC","92031918","Homo sapiens","Male","White","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"469","SIDM00512","SIDS00891","SIDP00794","","CORL23","L23/P","Lung","Non-Small Cell Lung Carcinoma","C4450","Metastasis","Pleural effusion","Large Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.216467274,4.69331335115866,NA,36.87,"","COR-L23-R is a multi-drug resistant sub-line derived from the parent line COR-L23 after treatment with doxorubicin (ECACC). ","687780","ACH-000662","CORL23_LUNG","CVCL_1139","","ECACC:92031919","ECACC","92031919","Homo sapiens","Male","White","62.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"470","SIDM00510","SIDS00893","SIDP00796","","CORL303","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",3.174436647,3.30340410139806,NA,30.45,"","","1297438","ACH-002095","CORL303_LUNG","CVCL_2411","","ECACC:96020722","ECACC","96020722","Homo sapiens","Female","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"471","SIDM00507","SIDS00896","SIDP00799","","CORL321","","Lung","Other Solid Cancers","C4878","Tumour","Unknown","Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",1.78796491,1.87118627570684,NA,53.03,"","","1322213","ACH-001490","CORL321_PLEURA","CVCL_2414","","ECACC:96020756","ECACC","96020756","Homo sapiens","Female","Unknown","58.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"472","SIDM00508","SIDS00895","SIDP00798","","CORL32","","Lung","Squamous Cell Lung Carcinoma","C3493","Metastasis","Bone Marrow","Squamous Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",2.738268864,3.01742924831604,NA,36.16,"","","1322212","ACH-001489","CORL32_LUNG","CVCL_2413","","ECACC:96020744","ECACC","96020744","Homo sapiens","Unknown","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"473","SIDM00506","SIDS00897","SIDP00800","","CORL88","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","None","None","",NA,"MSS",3.289218986,3.43950734675558,NA,50.16,"","","906808","ACH-000508","CORL88_LUNG","CVCL_1141","","ECACC:92031917","ECACC","92031917","Homo sapiens","Male","White","55.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"475","SIDM00522","SIDS00899","SIDP00802","","DMS273","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.732277803,2.69590265711466,NA,41.95,"","","687985","ACH-000749","DMS273_LUNG","CVCL_1176","","ECACC:95062830","ECACC","95062830","Homo sapiens","Female","Unknown","50.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"476","SIDM00523","SIDS00900","SIDP00803","","DMS53","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","None","1974","",NA,"MSS",2.648998418,2.80994189236627,NA,56.58,"","","907295","ACH-000698","DMS53_LUNG","CVCL_1177","","ECACC:95062823","ECACC","95062823","Homo sapiens","Male","White","54.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"481","SIDM00520","SIDS00883","SIDP00787","","NCIH2818","","Lung","Mesothelioma","C45662","Unknown","Unknown","Pleural Epithelioid Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.376669848,3.43515165805554,NA,21.79,"","","1290814","ACH-002134","H2818_PLEURA","CVCL_V000","","NCI-Navy Medical Oncology Branch:NCI-H2818","NCI-Navy Medical Oncology Branch","NCI-H2818","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"482","SIDM00519","SIDS00884","SIDP00788","","NCIH2869","","Lung","Mesothelioma","C45665","Unknown","Unknown","Pleural Biphasic Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",1.680730749,1.73971983566978,NA,24.32,"","","1240138","ACH-002135","H2869_PLEURA","CVCL_V001","","NCI-Navy Medical Oncology Branch:NCI-H2869","NCI-Navy Medical Oncology Branch","NCI-H2869","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"483","SIDM00518","SIDS00885","SIDP00789","","NCIH290","H290: H-290;HUT-290","Lung","Mesothelioma","C7376","Unknown","Unknown","Malignant Pleural Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.103265606,3.24134019542613,NA,26.74,"","","1240139","","","CVCL_A555","","NCI-Navy Medical Oncology Branch:NCI-H290","NCI-Navy Medical Oncology Branch","NCI-H290","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"496","SIDM00548","SIDS01010","SIDP00904","","LK2","","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Unknown","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.68877954,2.72256265848228,NA,52.39,"","","687787","ACH-000769","LK2_LUNG","CVCL_1377","","JCRB:JCRB0829","JCRB","JCRB0829","Homo sapiens","Male","Unknown","74.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"497","SIDM00547","SIDS01011","SIDP00905","","LU65","LU-65M;C-Lu65","Lung","Non-Small Cell Lung Carcinoma","C4452","Tumour","Lung","Giant Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",4.431119283,2.39005343440103,NA,48.45,"","","724863","ACH-000438","LU65_LUNG","CVCL_1392","","JCRB:JCRB0079","JCRB","JCRB0079","Homo sapiens","Male","East Asian","64.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"536","SIDM00521","SIDS00898","SIDP00801","","CORL95","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Bronchus","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",2.865076936,2.91875747458535,NA,43.53,"","","1297439","ACH-000743","CORL95_LUNG","CVCL_2418","","ECACC:96020733","ECACC","96020733","Homo sapiens","Male","Unknown","64.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"537","SIDM00598","SIDS00960","SIDP00860","","HARA","KCC-C1","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Unknown","Squamous Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.776076334,2.93437566920355,NA,92.95,"","","1240142","ACH-000843","HARA_LUNG","CVCL_2914","","JCRB:JCRB1080.0","JCRB","JCRB1080.0","Homo sapiens","Male","East Asian","57.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"553","SIDM00606","SIDS00991","SIDP00888","","KNS62","","Lung","Squamous Cell Lung Carcinoma","C3493","Metastasis","Brain","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.506712832,2.6268622989121,NA,82.13,"","","753569","ACH-000858","KNS62_LUNG","CVCL_1335","","JCRB:IFO50358","JCRB","IFO50358","Homo sapiens","Male","Unknown","49.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"572","SIDM00653","SIDS00212","SIDP00173","","NCIH1092","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Bone marrow","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","6","1985","",NA,"MSS",2.910699673,2.89801279006895,NA,50.11,"","","687997","ACH-000514","NCIH1092_LUNG","CVCL_1454","","ATCC:CRL-5855","ATCC","CRL-5855","Homo sapiens","Male","White","67.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"600","SIDM00640","SIDS00206","SIDP00168","","MSTO211H","","Lung","Mesothelioma","C45665","Metastasis","Pleural effusion","Pleural Biphasic Mesothelioma","Cell Line","Adherent","","None","None","1985","",NA,"MSS",3.48918453,3.57677048822733,NA,31.5,"","","908152","ACH-000335","MSTO211H_PLEURA","CVCL_1430","","ATCC:CRL-2081","ATCC","CRL-2081","Homo sapiens","Male","White","62.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"604","SIDM00652","SIDS00213","SIDP00174","","NCIH1105","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","1985","",NA,"MSS",3.241363992,3.37061245241791,NA,85.55,"","","908468","ACH-000780","NCIH1105_LUNG","CVCL_1455","","ATCC:CRL-5856","ATCC","CRL-5856","Homo sapiens","Male","White","73.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"605","SIDM00651","SIDS00214","SIDP00175","","NCIH1155","NCI-1155","Lung","Non-Small Cell Lung Carcinoma","C4450","Metastasis","Lymph node","Large Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",2.05543019,4.21722995961593,NA,202.5,"","","908467","ACH-000980","NCIH1155_LUNG","CVCL_1456","","ATCC:CRL-5818","ATCC","CRL-5818","Homo sapiens","Male","White","36.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"607","SIDM00649","SIDS00216","SIDP00177","","NCIH1299","","Lung","Non-Small Cell Lung Carcinoma","C4450","Metastasis","Lymph node","Large Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",4.750400096,5.04588150904199,NA,46.89,"","","724831","ACH-000510","NCIH1299_LUNG","CVCL_0060","","ATCC:CRL-5803","ATCC","CRL-5803","Homo sapiens","Male","White","43.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"608","SIDM00648","SIDS00217","SIDP00178","","NCIH1304","","Lung","Small Cell Lung Carcinoma","C4917","Unknown","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",2.629505967,2.80577408574387,NA,30.79,"","NCI-H1870 and NCI-H1304 are known syonymous lines (ICLAC).","753599","ACH-002169","NCIH1304_LUNG","CVCL_1462","","ATCC:CRL-5862","ATCC","CRL-5862","Homo sapiens","Female","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"609","SIDM00645","SIDS00220","SIDP00180","","NCIH1355","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural effusion","Lung Adenocarcinoma","Cell Line","Suspension","","None","3","1986","",NA,"MSS",2.304485605,2.4077449356024,NA,56.16,"","","724866","ACH-000666","NCIH1355_LUNG","CVCL_1464","","ATCC:CRL-5865","ATCC","CRL-5865","Homo sapiens","Male","White","53.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"610","SIDM00658","SIDS00224","SIDP00183","","NCIH1435","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Lung","Lung Adenocarcinoma","Cell Line","Semi-Adherent","","None","6","1986","",NA,"MSS",1.856069597,1.89622480551354,NA,90.76,"","","1298347","ACH-000852","NCIH1435_LUNG","CVCL_1470","","ATCC:CRL-5870","ATCC","CRL-5870","Homo sapiens","Female","Unknown","35.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"611","SIDM00698","SIDS00227","SIDP00186","","NCIH146","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Bone marrow","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","1979","",NA,"MSS",2.921227341,3.09015636806758,NA,45.03,"","","910899","ACH-000506","NCIH146_LUNG","CVCL_1473","","ATCC:HTB-173","ATCC","HTB-173","Homo sapiens","Male","White","59.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"612","SIDM00744","SIDS00235","SIDP00194","","NCIH1651","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Lung","Lung Adenocarcinoma","Cell Line","Adherent","","None","5","1987","",NA,"MSS",2.905446505,3.05734045985387,NA,101.87,"","","910900","ACH-000893","NCIH1651_LUNG","CVCL_1484","","ATCC:CRL-5884","ATCC","CRL-5884","Homo sapiens","Male","Unknown","71.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"613","SIDM00742","SIDS00237","SIDP00196","","NCIH1693","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","7","1987","",NA,"MSS",2.730169327,2.86471537024986,NA,42.13,"","NCI-H1819 and the matched normal line NCI-BL1819 were derived from the same patient as NCI-H1693 following chemotherapy. (PMID: 8806092)","687802","ACH-000021","NCIH1693_LUNG","CVCL_1488","","ATCC:CRL-5887","ATCC","CRL-5887","Homo sapiens","Female","White","55.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"614","SIDM00740","SIDS00239","SIDP00198","","NCIH1703","","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Unknown","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","8","1987","",NA,"MSS",2.31550571,2.34829765591772,NA,73.89,"","","908474","ACH-000747","NCIH1703_LUNG","CVCL_1490","","ATCC:CRL-5889","ATCC","CRL-5889","Homo sapiens","Male","White","54.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"615","SIDM00735","SIDS00264","SIDP00218","","NCIH2029","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","9","1988","",NA,"MSS",1.875258151,2.0171634570687,NA,41.76,"","","688011","ACH-000298","NCIH2029_LUNG","CVCL_1516","","ATCC:CRL-5913","ATCC","CRL-5913","Homo sapiens","Female","White","69.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"616","SIDM00711","SIDS00268","SIDP00221","","NCIH2066","","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Unknown","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","10","1988","",NA,"MSS",2.408575741,2.39920926609961,NA,60.63,"","","1330973","ACH-000727","NCIH2066_LUNG","CVCL_1520","","ATCC:CRL-5917","ATCC","CRL-5917","Homo sapiens","Female","White","70.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"617","SIDM00709","SIDS00270","SIDP00223","","NCIH2085","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","11","1988","",NA,"MSS",2.672741274,2.92063514732189,NA,42.37,"","","687812","ACH-000451","NCIH2085_LUNG","CVCL_1523","","ATCC:CRL-5921","ATCC","CRL-5921","Homo sapiens","Male","Unknown","45.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"618","SIDM00699","SIDS00280","SIDP00230","","NCIH2141","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","3","1989","",NA,"MSS",2.826732837,2.94315301921139,NA,56.63,"","NCI-BL2141 is a lymphoblastoid line from the same patient as NCI-H2141 (ATCC).","688014","ACH-001138","NCIH2141_LUNG","CVCL_1534","","ATCC:CRL-5927","ATCC","CRL-5927","Homo sapiens","Male","White","58.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"620","SIDM00729","SIDS00288","SIDP00236","","NCIH2228","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Lung","Lung Adenocarcinoma","Cell Line","Adherent","","None","8","1989","",NA,"MSS",3.743530018,3.76262749695336,NA,30.11,"","","687816","ACH-000447","NCIH2228_LUNG","CVCL_1543","","ATCC:CRL-5935","ATCC","CRL-5935","Homo sapiens","Female","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"621","SIDM00728","SIDS00289","SIDP00237","","NCIH2291","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","1","1990","",NA,"MSS",2.826900326,2.8580106187717,NA,79.74,"","","724874","ACH-000718","NCIH2291_LUNG","CVCL_1546","","ATCC:CRL-5939","ATCC","CRL-5939","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"622","SIDM01070","SIDS00523","SIDP00459","","HCC366","HCC0366","Lung","Non-Small Cell Lung Carcinoma","C9133","Tumour","Unknown","Adenosquamous Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.445900706,2.45120297206823,NA,56.53,"","","1240144","ACH-000840","HCC366_LUNG","CVCL_2059","","DSMZ:ACC-492","DSMZ","ACC-492","Homo sapiens","Female","Unknown","80.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"626","SIDM00766","SIDS00251","SIDP00209","","NCIH1876","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","4","1988","10.1002/jcb.240630505",NA,"",2.412225694,NA,NA,NA,"","NCI-H1876 & NCI-H1882 & NCI-H1881 have been derived from the same same patient. (NCI-Navy Medical Oncology Brance Cell Line Supplement DOI: 10.1002/jcb.240630505)","1330972","ACH-000586","NCIH1876_LUNG","CVCL_1503","","ATCC:CRL-5902","ATCC","CRL-5902","Homo sapiens","Male","White","59.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"635","SIDM00734","SIDS00226","SIDP00185","","NCIH1437","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural effusion","Lung Adenocarcinoma","Cell Line","Adherent","","None","6","1986","",NA,"MSS",2.848688544,2.98190914121243,NA,49.26,"","NCI-BL1437 is a matched normal line initiated by Epstein Barr virus (EBV) transformation from the same patient as NCI-H1437. (ATCC)","687794","ACH-000589","NCIH1437_LUNG","CVCL_1472","","ATCC:CRL-5872","ATCC","CRL-5872","Homo sapiens","Male","White","60.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"649","SIDM00750","SIDS00229","SIDP00188","","NCIH1568","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","12","1986","",NA,"MSS",2.500623586,2.63399380139695,NA,120.74,"","","1298348","ACH-000869","NCIH1568_LUNG","CVCL_1476","","ATCC:CRL-5876","ATCC","CRL-5876","Homo sapiens","Female","White","48.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
